title,adress,price,price_per_m
Appartement 3 pièces 73 m²,22410 Saint-Quay-Portrieux,366 800 €,4 795 €/m²
Appartement 2 pièces 44 m²,94350 Villiers-sur-Marne (Les Boutareines - Les Armoiries),131 000 €,2 977 €/m²
Maison 6 pièces 167 m²,28630 Barjouville,499 000 €,2 988 €/m²
Maison 5 pièces 132 m²,28630 Morancez,342 000 €,2 591 €/m²
Maison 7 pièces 190 m²,28190 Billancelles,347 000 €,1 826 €/m²
Maison 6 pièces 300 m²,28630 Fontenay-sur-Eure,593 000 €,1 977 €/m²
Maison 3 pièces 74 m²,28120 Chauffours,149 000 €,2 023 €/m²
Appartement 3 pièces 68 m²,28110 Lucé (Centre-ville),179 000 €,2 632 €/m²
Appartement 3 pièces 84 m²,28000 Chartres (Centre-ville),266 000 €,3 167 €/m²
Maison 6 pièces 130 m²,28000 Chartres (Rechèvres),312 000 €,2 400 €/m²
Maison 5 pièces 110 m²,28130 Bouglainval,316 000 €,2 873 €/m²
Maison 5 pièces 108 m²,28000 Chartres (Centre-ville),319 000 €,2 948 €/m²
Maison 5 pièces 150 m²,28700 Auneau-Bleury-Saint-Symphorien,357 000 €,2 380 €/m²
Maison 9 pièces 230 m²,28000 Chartres (Fulbert),436 000 €,1 896 €/m²
Maison 5 pièces 102 m²,28300 Fresnay-le-Gilmert,260 000 €,2 549 €/m²
Appartement 3 pièces 70 m²,28000 Chartres (Centre-ville),190 000 €,2 714 €/m²
Maison 4 pièces 99 m²,28360 La Bourdinière-Saint-Loup,212 500 €,2 157 €/m²
Maison 4 pièces 175 m²,28300 Gasville-Oisème,284 000 €,1 623 €/m²
Maison 6 pièces 94 m²,78280 Guyancourt (Village),499 000 €,5 293 €/m²
Maison 7 pièces 131 m²,78180 Montigny-le-Bretonneux (Le Manet),745 500 €,5 691 €/m²
Maison 5 pièces 95 m²,78370 Plaisir (Centre-ville - Château),449 000 €,4 526 €/m²
Maison 5 pièces 91 m²,78370 Plaisir (Bontemps - Valibout),359 000 €,3 799 €/m²
Maison 2 pièces 54 m²,78114 Magny-les-Hameaux,357 000 €,6 611 €/m²
Appartement 5 pièces 106 m²,78280 Guyancourt (Le Pont du Routoir),372 000 €,3 509 €/m²
Maison 5 pièces 130 m²,28110 Lucé (Petit Lucé - Poiffonds),259 500 €,1 996 €/m²
Appartement 1 pièce 25 m²,78960 Voisins-le-Bretonneux,151 000 €,151 000 €
Maison 3 pièces 66 m²,84260 Sarrians,109 800 €,1 664 €/m²
Appartement 3 pièces 82 m²,33000 Bordeaux (Saint-Pierre),339 000 €,3 927 €/m²
Appartement 1 pièce 29 m²,78180 Montigny-le-Bretonneux (Le Village),199 500 €,6 496 €/m²
Appartement 2 pièces 47 m²,78960 Voisins-le-Bretonneux,230 000 €,230 000 €
Maison 6 pièces 166 m²,78230 Le Pecq (Cité),790 000 €,4 570 €/m²
Appartement 4 pièces 83 m²,78370 Plaisir (Ebisoires),227 900 €,2 578 €/m²
Appartement 1 pièce 20 m²,28000 Chartres (Hôtel Dieu - Grand Faubourg),90 000 €,4 552 €/m²
Appartement 1 pièce 33 m²,28000 Chartres (Rechèvres),97 440 €,2 953 €/m²
Maison 3 pièces 64 m²,28300 Lèves,225 900 €,3 530 €/m²
Maison 6 pièces 184 m²,28700 Denonville,272 000 €,1 478 €/m²
Maison 6 pièces 130 m²,28360 Prunay-le-Gillon,329 000 €,2 531 €/m²
Appartement 3 pièces 74 m²,78180 Montigny-le-Bretonneux (Les Prés),262 500 €,3 556 €/m²
Appartement 3 pièces 63 m²,78180 Montigny-le-Bretonneux (Le Village),299 000 €,299 000 €
Appartement 4 pièces 85 m²,78180 Montigny-le-Bretonneux (Le Manet),378 000 €,4 444 €/m²
Appartement 4 pièces 83 m²,78000 Versailles (Chantiers),745 000 €,8 572 €/m²
Appartement 2 pièces 40 m²,78370 Plaisir (Gâtines - Boissière - Mare aux Saules),199 900 €,4 758 €/m²
Maison 6 pièces 123 m²,78370 Plaisir (Gâtines - Boissière - Mare aux Saules),472 500 €,3 659 €/m²
Maison 3 pièces 63 m²,28600 Luisant,220 000 €,3 509 €/m²
Appartement 2 pièces 56 m²,28000 Chartres (Rechèvres),185 000 €,3 304 €/m²
Appartement 1 pièce 27 m²,28110 Lucé (Centre-ville),81 000 €,3 020 €/m²
Maison 5 pièces 140 m²,28300 Gasville-Oisème,195 000 €,1 393 €/m²
Maison 4 pièces 70 m²,28600 Luisant,224 640 €,3 231 €/m²
Maison 6 pièces 155 m²,28120 Vieuvicq,257 000 €,1 658 €/m²
Maison 6 pièces 130 m²,28000 Chartres,262 500 €,2 019 €/m²
Maison 4 pièces 102 m²,28000 Chartres (Fulbert),265 000 €,2 598 €/m²
Maison 5 pièces 120 m²,28300 Champhol,299 000 €,2 492 €/m²
Maison 5 pièces 93 m²,89690 Chéroy,158 000 €,1 699 €/m²
Appartement 4 pièces 77 m²,93500 Pantin (Verpantin - Sept Arpents),499 900 €,6 492 €/m²
Maison 9 pièces 450 m²,28700 Francourville,630 000 €,1 400 €/m²
Appartement 4 pièces 99 m²,78280 Guyancourt (Le Pont du Routoir),426 400 €,4 307 €/m²
Maison 5 pièces 141 m²,78190 Trappes (Village - Cité Nouvelle),441 000 €,3 128 €/m²
Maison 5 pièces 116 m²,78960 Voisins-le-Bretonneux,488 000 €,4 207 €/m²
Appartement 4 pièces 91 m²,78280 Guyancourt (Le Pont du Routoir),525 000 €,525 000 €
Appartement 5 pièces 136 m²,75007 Paris 7e (Breteuil),2 350 000 €,"16,5k €/m²"
Appartement 4 pièces 84 m²,78000 Versailles (Jussieu - Petits Bois - Picardie),440 000 €,440 000 €
Appartement 5 pièces 110 m²,78000 Versailles (Clagny Glatigny),750 000 €,6 521 €/m²
Maison 6 pièces 115 m²,78000 Versailles (Porchefontaine),795 000 €,6 757 €/m²
Appartement 4 pièces 60 m²,78000 Versailles (Notre Dame),405 000 €,6 746 €/m²
Duplex 6 pièces 197 m²,78000 Versailles (Notre Dame),1 190 000 €,5 815 €/m²
Maison 7 pièces 200 m²,78280 Guyancourt (Zones d'activités - Hameau de Bouviers - Hameau de la Minière),980 000 €,4 700 €/m²
Appartement 3 pièces 60 m²,78370 Plaisir (Ebisoires),289 000 €,4 561 €/m²
Maison 4 pièces 108 m²,94400 Vitry-sur-Seine (Les Ardoines),458 000 €,4 028 €/m²
Maison 10 pièces 262 m²,94170 Le Perreux-sur-Marne (Centre-ville - Quais d'Argonne),2 750 000 €,9 885 €/m²
Appartement 3 pièces 74 m²,75014 Paris 14e (Montsouris - Dareau),595 000 €,7 635 €/m²
Maison 5 pièces 250 m²,92160 Antony (Baconnets),1 099 000 €,4 240 €/m²
Maison 7 pièces 160 m²,78670 Villennes-sur-Seine,870 000 €,5 438 €/m²
Maison 8 pièces 235 m²,93100 Montreuil (Signac - Mûrs à Pêches),1 092 600 €,4 649 €/m²
Appartement 4 pièces 70 m²,75007 Paris 7e (Champ de Mars),950 000 €,"13,2k €/m²"
Maison 9 pièces 280 m²,78600 Maisons-Laffitte (Ouest),1 750 000 €,6 250 €/m²
Appartement 3 pièces 79 m²,28600 Luisant,150 000 €,1 899 €/m²
Appartement 4 pièces 104 m²,28110 Lucé (Centre-ville),220 000 €,2 105 €/m²
Maison 5 pièces 123 m²,28130 Maintenon,255 250 €,2 075 €/m²
Appartement 2 pièces 49 m²,06400 Cannes (Pointe Croisette),350 000 €,6 735 €/m²
Appartement 4 pièces 75 m²,75005 Paris 5e (Val de Grâce),1 150 000 €,1 150 000 €
Appartement 3 pièces 75 m²,78000 Versailles (Chantiers),450 000 €,5 679 €/m²
Appartement 3 pièces 60 m²,78000 Versailles (Chantiers),456 000 €,7 216 €/m²
Maison 6 pièces 129 m²,78370 Plaisir (Gâtines - Boissière - Mare aux Saules),540 000 €,4 036 €/m²
Appartement 3 pièces 61 m²,78280 Guyancourt (Le Parc - Les Saules),279 000 €,4 590 €/m²
Appartement 3 pièces 66 m²,78180 Montigny-le-Bretonneux (Le Village),356 500 €,5 441 €/m²
Appartement 3 pièces 62 m²,75011 Paris 11e (République - Saint-Ambroise),647 500 €,"10,4k €/m²"
Maison 10 pièces 520 m²,94170 Le Perreux-sur-Marne (Thillards),4 800 000 €,8 712 €/m²
Appartement 1 pièce 23 m²,75007 Paris 7e (Champ de Mars),325 600 €,"13,9k €/m²"
Appartement 6 pièces 105 m²,75014 Paris 14e (Mouton - Duvernet),1 100 000 €,10k €/m²
Appartement 3 pièces 74 m²,92600 Asnières-sur-Seine (Centre-ville),460 000 €,6 199 €/m²
Appartement 3 pièces 60 m²,75009 Paris 9e (Clichy - Trinité),660 000 €,"10,5k €/m²"
Maison 7 pièces 220 m²,44100 Nantes (Zola - Dervallières),829 900 €,3 772 €/m²
Appartement 3 pièces 57 m²,78000 Versailles (Notre Dame),400 000 €,6 691 €/m²
Maison 6 pièces 186 m²,77450 Esbly,414 000 €,2 229 €/m²
Appartement 3 pièces 56 m²,92410 Ville-d'Avray,319 000 €,5 696 €/m²
Appartement 5 pièces 112 m²,44000 Nantes (Centre-ville),480 000 €,4 286 €/m²
Duplex 3 pièces 52 m²,75013 Paris 13e (Patay - Masséna),570 000 €,"10,5k €/m²"
Appartement 4 pièces 107 m²,93100 Montreuil (Bas Montreuil - Bobillot),630 000 €,5 888 €/m²
Appartement 4 pièces 82 m²,87000 Limoges (Centre-ville - Hôtel de Ville - Emailleurs),162 000 €,1 976 €/m²
Appartement 7 pièces 185 m²,78000 Versailles (Notre Dame),1 185 600 €,6 409 €/m²
Appartement 4 pièces 65 m²,78000 Versailles (Clagny Glatigny),375 000 €,5 769 €/m²
Maison 6 pièces 100 m²,78370 Plaisir (Gâtines - Boissière - Mare aux Saules),369 000 €,3 530 €/m²
Maison 9 pièces 255 m²,78150 Le Chesnay (Saint-Antoine de Padoue),1 648 000 €,6 275 €/m²
Appartement 2 pièces 66 m²,75018 Paris 18e (La Chapelle - Marx Dormoy),490 000 €,7 424 €/m²
Maison 11 pièces 410 m²,31330 Merville,865 000 €,2 029 €/m²
Appartement 3 pièces 84 m²,63000 Clermont-Ferrand (Jaude - Fontgiève Saint-Alyre),478 000 €,5 690 €/m²
Maison 9 pièces 273 m²,91150 Étampes (Centre-Ville),649 000 €,2 377 €/m²
Maison 4 pièces 103 m²,78180 Montigny-le-Bretonneux (La Sourderie Sud),433 000 €,4 010 €/m²
Appartement 4 pièces 92 m²,78120 Rambouillet (Groussay - Providence - Gommerie - Vernes - Dreyfus),329 700 €,3 400 €/m²
Maison 7 pièces 140 m²,92500 Rueil-Malmaison (Coteaux),1 200 000 €,8 214 €/m²
Maison 4 pièces 100 m²,38150 Salaise-sur-Sanne,320 000 €,3 200 €/m²
Maison 7 pièces 258 m²,01800 Meximieux,669 000 €,2 593 €/m²
Maison 3 pièces 60 m²,69690 Bessenay,209 000 €,3 483 €/m²
Maison 3 pièces 60 m²,69210 L'Arbresle,209 000 €,3 483 €/m²
Appartement 2 pièces 61 m²,87000 Limoges (Bénédictins - Montplaisir),90 000 €,1 471 €/m²
Appartement 3 pièces 78 m²,06300 Nice (Riquier),415 000 €,5 321 €/m²
Maison 5 pièces 106 m²,47450 Colayrac-Saint-Cirq,220 000 €,2 067 €/m²
Maison 6 pièces 134 m²,38780 Septème,549 000 €,4 097 €/m²
Appartement 5 pièces 162 m²,69008 Lyon 8e (Monplaisir),799 000 €,4 932 €/m²
Appartement 4 pièces 100 m²,75015 Paris 15e (Georges Brassens),850 000 €,8 300 €/m²
Maison 5 pièces 125 m²,67230 Benfeld,367 500 €,2 800 €/m²
Maison 7 pièces 230 m²,23000 Guéret (Centre-ville - La Rodde - Champegaud),195 000 €,848 €/m²
Appartement 3 pièces 61 m²,87000 Limoges (Le Sablard - Limoges Sud),114 500 €,1 864 €/m²
Appartement 3 pièces 57 m²,75005 Paris 5e (Jardin des Plantes),758 000 €,"12,5k €/m²"
Maison 6 pièces 161 m²,69200 Vénissieux (Centre-ville),390 000 €,2 422 €/m²
Maison 6 pièces 215 m²,69008 Lyon 8e (Bachut - Transvaal),739 000 €,3 437 €/m²
Maison 4 pièces 170 m²,01310 Confrançon,298 000 €,1 753 €/m²
Duplex 3 pièces 97 m²,69004 Lyon 4e (Croix Rousse Centre-ville),580 000 €,5 979 €/m²
Maison 3 pièces 97 m²,69004 Lyon 4e (Croix Rousse Centre-ville),580 000 €,5 979 €/m²
Maison 4 pièces 130 m²,06650 Le Rouret,798 000 €,6 138 €/m²
Appartement 2 pièces 27 m²,92150 Suresnes (Centre-ville),198 000 €,7 304 €/m²
Appartement 2 pièces 31 m²,75014 Paris 14e (Pernety),345 000 €,"10,6k €/m²"
Appartement 3 pièces 57 m²,75019 Paris 19e (Secrétan - Jaurès),565 000 €,9 316 €/m²
Appartement 2 pièces 33 m²,75005 Paris 5e (Val de Grâce),515 000 €,"15,6k €/m²"
Appartement 2 pièces 81 m²,75014 Paris 14e (Montparnasse - Raspail),959 300 €,"11,2k €/m²"
Appartement 3 pièces 108 m²,75009 Paris 9e (Lorette - Martyrs),1 600 000 €,"14,1k €/m²"
Maison 5 pièces 160 m²,21110 Rouvres-en-Plaine,289 000 €,1 806 €/m²
Appartement 3 pièces 75 m²,75015 Paris 15e (Georges Brassens),585 000 €,7 477 €/m²
Maison 4 pièces 120 m²,47130 Saint-Laurent,89 000 €,741 €/m²
Maison 8 pièces 265 m²,69620 Légny,890 000 €,3 358 €/m²
Appartement 3 pièces 78 m²,87000 Limoges (Aurence - Corgnac - Cité universitaire - Beaublanc),138 000 €,1 776 €/m²
Appartement 2 pièces 44 m²,44000 Nantes (Saint-Donatien - Tortière),169 500 €,3 892 €/m²
